 index  label                                           nativelabel                      colour     type                 hemisphere  lobe
 11114  inferior_frontal_gyrus_pars_triangularis_left   ctx_lh_G_front_inf-Triangul      "#B4DC8C"  cerebral_cortex      left        frontal
 11115  middle_frontal_gyrus_left                       ctx_lh_G_front_middle            "#8C64B4"  cerebral_cortex      left        frontal
 11116  superior_frontal_gyrus_left                     ctx_lh_G_front_sup               "#B4148C"  cerebral_cortex      left        frontal
 11117  long_insular_gyrus_left                         ctx_lh_G_Ins_lg_and_S_cent_ins   "#170A0A"  cerebral_cortex      left        insular
 11118  short_insular_gyri_left                         ctx_lh_G_insular_short           "#E18C8C"  cerebral_cortex      left        insular
 11119  middle_occipital_gyrus_left                     ctx_lh_G_occipital_middle        "#B43CB4"  cerebral_cortex      left        occipital
 11120  superior_occipital_gyrus_left                   ctx_lh_G_occipital_sup           "#14DC3C"  cerebral_cortex      left        occipital
 11121  fusiform_gyrus_left                             ctx_lh_G_oc-temp_lat-fusifor     "#3C148C"  cerebral_cortex      left        temporal
 11122  lingual_gyrus_left                              ctx_lh_G_oc-temp_med-Lingual     "#DCB48C"  cerebral_cortex      left        occipital
 11123  parahippocampal_gyrus_left                      ctx_lh_G_oc-temp_med-Parahip     "#416414"  cerebral_cortex      left        limbic
 11124  orbital_gyri_left                               ctx_lh_G_orbital                 "#DC3C14"  cerebral_cortex      left        frontal
 11125  angular_gyrus_left                              ctx_lh_G_pariet_inf-Angular      "#143CDC"  cerebral_cortex      left        parietal
 11126  supramarginal_gyrus_left                        ctx_lh_G_pariet_inf-Supramar     "#64643C"  cerebral_cortex      left        parietal
 11127  superior_parietal_gyrus_left                    ctx_lh_G_parietal_sup            "#DCB4DC"  cerebral_cortex      left        parietal
 11128  postcentral_gyrus_left                          ctx_lh_G_postcentral             "#14B48C"  cerebral_cortex      left        parietal
 11129  precentral_gyrus_left                           ctx_lh_G_precentral              "#3C8CB4"  cerebral_cortex      left        frontal
 11130  precuneus_left                                  ctx_lh_G_precuneus               "#19148C"  cerebral_cortex      left        parietal
 11131  gyrus_rectus_left                               ctx_lh_G_rectus                  "#143C64"  cerebral_cortex      left        frontal
 11132  subcallosal_gyrus_left                          ctx_lh_G_subcallosal             "#3CDC14"  cerebral_cortex      left        frontal
 11133  transverse_temporal_gyrus_left                  ctx_lh_G_temp_sup-G_T_transv     "#3C3CDC"  cerebral_cortex      left        temporal
 11134  superior_temporal_gyrus_lateral_left            ctx_lh_G_temp_sup-Lateral        "#DC3CDC"  cerebral_cortex      left        temporal
 11135  superior_temporal_gyrus_planum_polare_left      ctx_lh_G_temp_sup-Plan_polar     "#41DC3C"  cerebral_cortex      left        temporal
 11136  superior_temporal_gyrus_planum_temporale_left   ctx_lh_G_temp_sup-Plan_tempo     "#198C14"  cerebral_cortex      left        temporal
 11137  inferior_temporal_gyrus_left                    ctx_lh_G_temporal_inf            "#DCDC64"  cerebral_cortex      left        temporal
 11138  middle_temporal_gyrus_left                      ctx_lh_G_temporal_middle         "#B43C3C"  cerebral_cortex      left        temporal
 11144  temporal_pole_left                              ctx_lh_Pole_temporal             "#DCB414"  cerebral_cortex      left        temporal
 11143  occipital_pole_left                             ctx_lh_Pole_occipital            "#8C143C"  cerebral_cortex      left        occipital
 12101  frontomarginal_gyrus_right                      ctx_rh_G_and_S_frontomargin      "#17DC3C"  cerebral_cortex      right       frontal
 12102  inferior_occipital_gyrus_right                  ctx_rh_G_and_S_occipital_inf     "#173CB4"  cerebral_cortex      right       occipital
 12103  paracentral_gyrus_right                         ctx_rh_G_and_S_paracentral       "#3F643C"  cerebral_cortex      right       frontal,parietal
 12104  subcentral_gyrus_right                          ctx_rh_G_and_S_subcentral        "#3F14DC"  cerebral_cortex      right       frontal,parietal
 12105  transverse_frontopolar_gyri_right               ctx_rh_G_and_S_transv_frontopol  "#0D00FA"  cerebral_cortex      right       frontal
 12106  anterior_cingulate_gyrus_right                  ctx_rh_G_and_S_cingul-Ant        "#1A3C00"  cerebral_cortex      right       limbic
